component	variant	boundStyle	size	weight	letterSpacing	textCase
[S] Attachment		Desktop text/Label text (semi bold, 600)	13	SemiBold	0%	ORIGINAL
[S] Config child menu			16		-1%	ORIGINAL
[S] People	Property 1=Header, Mobile=False	Desktop text/Label text	13		0%	ORIGINAL
[S] People	Property 1=Inline, Mobile=False	Desktop text/Body text	16		-1%	ORIGINAL
[S] People	Property 1=Large card, Mobile=False	Desktop text/Sub heading	20		0%	ORIGINAL
[S] People	Property 1=Large card, Mobile=True	Mobile text/Sub heading	18		0%	ORIGINAL
[S] Post content		Desktop text/Sub heading	20		0%	ORIGINAL
[S] Text area	Property 1=Default	Desktop text/Body text	16		-1%	ORIGINAL
single layout card	Mobile=false	Desktop text/Sub heading	20		0%	ORIGINAL
single layout card	Mobile=true	Mobile text/Sub heading	18		0%	ORIGINAL
